iso3c,continent,sub_region
ITA,Europe,Southern Europe
JAM,Americas,Caribbean
JPN,Asia,Eastern Asia
JEY,Europe,Northern Europe
JOR,Asia,Western Asia
KAZ,Asia,Central Asia
KEN,Africa,Eastern Africa
KIR,Oceania,Micronesia
PRK,Asia,Eastern Asia
KOR,Asia,Eastern Asia
KWT,Asia,Western Asia
KGZ,Asia,Central Asia
LAO,Asia,South-Eastern Asia
LVA,Europe,Northern Europe
LBN,Asia,Western Asia
LSO,Africa,Southern Africa
LBR,Africa,Western Africa
LBY,Africa,Northern Africa
LIE,Europe,Western Europe
LTU,Europe,Northern Europe
LUX,Europe,Western Europe
MAC,Asia,Eastern Asia
MKD,Europe,Southern Europe
MDG,Africa,Eastern Africa
MWI,Africa,Eastern Africa
MYS,Asia,South-Eastern Asia
MDV,Asia,Southern Asia
MLI,Africa,Western Africa
MLT,Europe,Southern Europe
MHL,Oceania,Micronesia
MTQ,Americas,Caribbean
MRT,Africa,Western Africa
MUS,Africa,Eastern Africa
MYT,Africa,Eastern Africa
MEX,Americas,Central America
FSM,Oceania,Micronesia
MDA,Europe,Eastern Europe
MCO,Europe,Western Europe
MNG,Asia,Eastern Asia
MNE,Europe,Southern Europe
MSR,Americas,Caribbean
MAR,Africa,Northern Africa
MOZ,Africa,Eastern Africa
MMR,Asia,South-Eastern Asia
NAM,Africa,Southern Africa
NRU,Oceania,Micronesia
NPL,Asia,Southern Asia
NLD,Europe,Western Europe
NCL,Oceania,Melanesia
NZL,Oceania,Australia and New Zealand
NIC,Americas,Central America
NER,Africa,Western Africa
NGA,Africa,Western Africa
NIU,Oceania,Polynesia
NFK,Oceania,Australia and New Zealand
MNP,Oceania,Micronesia
NOR,Europe,Northern Europe
OMN,Asia,Western Asia
PAK,Asia,Southern Asia
PLW,Oceania,Micronesia
PSE,Asia,Western Asia
PAN,Americas,Central America
PNG,Oceania,Melanesia
PRY,Americas,South America
PER,Americas,South America
PHL,Asia,South-Eastern Asia
PCN,Oceania,Polynesia
POL,Europe,Eastern Europe
PRT,Europe,Southern Europe
PRI,Americas,Caribbean
QAT,Asia,Western Asia
REU,Africa,Eastern Africa
ROU,Europe,Eastern Europe
RUS,Europe,Eastern Europe
RWA,Africa,Eastern Africa
BLM,Americas,Caribbean
SHN,Africa,Western Africa
KNA,Americas,Caribbean
LCA,Americas,Caribbean
MAF,Americas,Caribbean
SPM,Americas,Northern America
VCT,Americas,Caribbean
WSM,Oceania,Polynesia
SMR,Europe,Southern Europe
STP,Africa,Middle Africa
SAU,Asia,Western Asia
SEN,Africa,Western Africa
SRB,Europe,Southern Europe
SYC,Africa,Eastern Africa
SLE,Africa,Western Africa
SGP,Asia,South-Eastern Asia
SXM,Americas,Caribbean
SVK,Europe,Eastern Europe
SVN,Europe,Southern Europe
SLB,Oceania,Melanesia
SOM,Africa,Eastern Africa
ZAF,Africa,Southern Africa
SGS,,
SSD,Africa,Eastern Africa
ESP,Europe,Southern Europe
LKA,Asia,Southern Asia
SDN,Africa,Northern Africa
SUR,Americas,South America
SJM,Europe,Northern Europe
SWZ,Africa,Southern Africa
SWE,Europe,Northern Europe
CHE,Europe,Western Europe
SYR,Asia,Western Asia
TWN,Asia,Eastern Asia
TJK,Asia,Central Asia
TZA,Africa,Eastern Africa
THA,Asia,South-Eastern Asia
TLS,Asia,South-Eastern Asia
TGO,Africa,Western Africa
TKL,Oceania,Polynesia
TON,Oceania,Polynesia
TTO,Americas,Caribbean
TUN,Africa,Northern Africa
TUR,Asia,Western Asia
TKM,Asia,Central Asia
TCA,Americas,Caribbean
TUV,Oceania,Polynesia
UGA,Africa,Eastern Africa
UKR,Europe,Eastern Europe
ARE,Asia,Western Asia
GBR,Europe,Northern Europe
USA,Americas,Northern America
UMI,,
URY,Americas,South America
UZB,Asia,Central Asia
VUT,Oceania,Melanesia
VEN,Americas,South America
VNM,Asia,South-Eastern Asia
VGB,Americas,Caribbean
VIR,Americas,Caribbean
WLF,Oceania,Polynesia
ESH,Africa,Northern Africa
YEM,Asia,Western Asia
ZMB,Africa,Eastern Africa
ZWE,Africa,Eastern Africa
